"","year","incidence","total_cases","total_inhab"
"1","2007",1.74346880924001,3301,189335191
"2","2008",1.92708494901616,3654,189612814
"3","2009",2.08689063713852,3996,191481045
"4","2010",1.98421228599189,3785,190755799
"5","2011",2.60267104535012,5007,192379287
"6","2012",1.65999463955768,3220,193976530
"7","2013",2.05458206391437,4131,201062789
"8","2014",2.34515988173115,4755,202758031
"9","2015",2.12096432193238,4337,204482459
"10","2016",1.48655550035796,3064,206114067
"11","2017",1.4538122383147,3019,207660929
"12","2018",1.4767747316601,3079,208494900
"13","2019",1.73497496099459,3646,210147125
"14","2020",0.898204899257206,1902,211755692
"15","2021",0.817560145600524,1744,213317639
"16","2022",1.50228429764269,3121,207750291
"17","2023",1.67618048457531,3404,203080756
"18","2024",1.96628387635461,4180,212583750
