"","mun_code","municipio","incidence 2007","incidence 2008","incidence 2009","incidence 2010","incidence 2011","incidence 2012","incidence 2013","incidence 2014","incidence 2015","incidence 2016","incidence 2017","incidence 2018","incidence 2019","incidence 2020","incidence 2021","incidence 2022","incidence 2023","incidence 2024"
"1","110001","110001 ALTA FLORESTA D'OESTE",0,0,0,0,0,0,3.88681592039801,11.6949945423359,3.90960982093987,3.92064612248098,3.93128120454456,0,4.35824798431031,0,4.4412861964825,0,4.65246115194938,4.37579311250164
"2","110002","110002 ARIQUEMES",0,1.1822986249867,3.50704916882935,0,2.18412143715191,0,4.93734509079778,7.77756173439627,0.957845231367516,3.77729092694719,0,1.88380679677492,0,2.73915068067894,0,0,1.03270579244679,0
"3","110003","110003 CABIXI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","110004","110004 CACOAL",2.6023030381888,0,0,1.27268562119785,0,0,0,15.0191783354129,0,0,1.12985413583106,3.53719359060521,3.51456788387868,1.16423922787654,0,2.16915034381033,1.15092016066845,1.02420189067669
"5","110005","110005 CEREJEIRAS",0,0,0,0,0,0,22.1717199711768,0,0,0,0,0,12.2526496354837,0,0,0,0,0
"6","110006","110006 COLORADO DO OESTE",0,0,0,0,0,5.52699939203007,0,10.5257618020104,0,0,0,0,0,0,0,6.35041595224487,0,0
"7","110007","110007 CORUMBIARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","110008","110008 COSTA MARQUES",0,0,0,0,0,0,0,0,0,0,0,5.60067208064968,0,0,0,0,0,0
"9","110009","110009 ESPIGAO D'OESTE",0,3.4944263899081,3.4615251479802,0,0,3.42594813114529,15.773368245055,6.24083377539239,6.17569862590706,0,0,0,9.26669549638599,0,0,0,6.79948323927382,6.11302992328147
"10","110010","110010 GUAJARA-MIRIM",0,0,0,0,0,0,0,4.32872324307945,0,0,0,0,0,0,0,0,2.53890877700764,0
"11","110011","110011 JARU",0,1.85339634880919,0,0,3.85482720737043,0,0,5.38899567084014,5.38232444651764,1.79192201555388,0,1.92555793041034,0,0,3.88583419145505,0,0,5.39733371714373
"12","110012","110012 JI-PARANA",0,0,0.900868437173435,2.57267815796244,0.852057292332336,1.69359482437422,0.781091340821396,0.773742281920738,2.30027833367838,0,0.753766950334296,3.12727215867779,0.775380130108786,0.76917751847949,0.763207302367469,0.730860588342774,0,1.4351423302406
"13","110013","110013 MACHADINHO D'OESTE",0,3.10424039237599,9.04649900488511,3.21181949574434,0,0,50.514972076446,65.9123365923322,32.2867059488256,18.470144330985,0,7.67322300943806,2.50056262659098,7.34088628967137,4.79340427571661,0,0,0
"14","110014","110014 NOVA BRASILANDIA D'OESTE",0,5.66475953095791,0,0,0,0,0,4.64878434289433,0,0,0,0,0,4.88066767533799,0,0,25.511831111678,0
"15","110015","110015 OURO PRETO DO OESTE",0,8.07710947175704,5.44588155207624,2.63657456232862,5.30475836825633,0,4.98765555250754,114.971257185704,87.666566476305,7.53012048192771,5.03030760330994,11.0071546505228,0,8.39466099560679,0,5.44173264767502,0,5.17049714330033
"16","110018","110018 PIMENTA BUENO",0,0,0,2.95665543137603,0,0,2.70716586805274,0,2.66581360631265,0,0,0,0,5.42284645210271,0,0,2.85070840103766,2.56062274345121
"17","110020","110020 PORTO VELHO",0.257755874256374,1.05489126708265,4.17291517245876,1.16678762365032,2.06548979648041,0.903544378711591,20.6188968065453,11.1333102570175,3.38141573909792,1.95610883007087,2.11768148530329,0.769925182520389,1.32189204296527,0.55622096063068,0.364330578994156,1.082841723191,1.30311836224084,1.55378122371925
"18","110025","110025 PRESIDENTE MEDICI",0,0,0,0,0,4.6063844488461,4.34461484989356,0,4.43321363656515,0,9.03995660820828,0,0,0,0,0,10.3482175195323,4.87376937323326
"19","110026","110026 RIO CRESPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","110028","110028 ROLIM DE MOURA",0,0,0,1.97441162533565,1.96467514096544,0,0,7.16755962513663,1.77803065324846,1.76478893124382,0,1.82808672443421,1.81626648261833,1.80482610500478,0,0,0,0
"21","110029","110029 SANTA LUZIA D'OESTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","110030","110030 VILHENA",0,0,0,2.6246030287919,0,0,0,2.22724589908349,1.08931275258439,0,0,0,0,0,0,0,0,0
"23","110032","110032 SAO MIGUEL DO GUAPORE",0,0,0,0,4.57059280588692,0,0,0,4.17833117452889,0,0,0,0,0,0,0,0,0
"24","110033","110033 NOVA MAMORE",0,0,4.47607537710935,0,4.32096098172233,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","110034","110034 ALVORADA D'OESTE",0,0,0,0,0,0,0,11.6090085906664,0,0,0,0,0,0,0,0,0,0
"26","110037","110037 ALTO ALEGRE DOS PARECIS",0,0,0,0,0,0,0,0,0,14.2928607160723,0,0,0,0,0,0,0,8.15461143276523
"27","110040","110040 ALTO PARAISO",0,5.82445104548896,0,0,0,0,0,0,4.9480455220188,0,0,0,0,0,0,0,0,0
"28","110045","110045 BURITIS",0,0,0,0,0,0,8.20681165367255,0,0,0,2.56121299047229,0,0,0,0,3.54886791113635,3.57244927122035,3.25425493833187
"29","110050","110050 NOVO HORIZONTE DO OESTE",0,0,0,0,0,0,0,0,0,0,0,0,11.7123448114312,0,0,0,0,0
"30","110060","110060 CACAULANDIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0149597238205
"31","110070","110070 CAMPO NOVO DE RONDONIA",0,0,0,0,0,0,7.17411579022885,0,0,6.9666991779295,0,7.13826825612106,14.1452719428531,0,6.94878743659232,0,33.921302578019,10.840108401084
"32","110080","110080 CANDEIAS DO JAMARI",0,11.6638479034233,11.397959765202,0,0,0,8.70587211073869,42.4214143299538,4.13992962119644,8.09094219021805,0,0,0,0,3.56277611514892,0,0,4.1385589537723
"33","110090","110090 CASTANHEIRAS",0,0,27.1444082519001,0,0,0,0,0,0,55.8191459670667,0,0,0,0,0,0,0,28.9351851851852
