"region","year","confirmed_cases","inhab","incidence"
"Central-West",2007,40,13516181,0.295941582907184
"North",2007,243,15342561,1.58382945324447
"Northeast",2007,566,52193847,1.08441901207244
"South",2007,1234,27641501,4.46430170344223
"Southeast",2007,1218,80641101,1.51039604481591
"Central-West",2008,49,13695944,0.357770154434043
"North",2008,338,15142684,2.23210099345664
"Northeast",2008,643,53088499,1.21118511939846
"South",2008,1561,27497970,5.6767826861401
"Southeast",2008,1063,80187717,1.32563943677309
"Central-West",2009,48,13895467,0.345436393033786
"North",2009,365,15359645,2.37635700564694
"Northeast",2009,927,53591299,1.72975840723697
"South",2009,1122,27718997,4.04776550897567
"Southeast",2009,1534,80915637,1.89580167304374
"Central-West",2010,48,14058094,0.341440311894344
"North",2010,259,15864454,1.63258061071626
"Northeast",2010,717,53081950,1.35074163628126
"South",2010,1224,27386891,4.46929153075462
"Southeast",2010,1537,80364410,1.91253814966103
"Central-West",2011,24,14244192,0.168489725496539
"North",2011,495,16095187,3.07545355018242
"Northeast",2011,922,53501859,1.72330460517269
"South",2011,1728,27562433,6.26940299501136
"Southeast",2011,1838,80975616,2.26981910208624
"Central-West",2012,54,14423952,0.374377285781317
"North",2012,529,16347807,3.2359080334139
"Northeast",2012,413,53907144,0.766132221732986
"South",2012,908,27731644,3.27423790670326
"Southeast",2012,1316,81565983,1.61341769153938
"Central-West",2013,66,14993191,0.440199821372248
"North",2013,930,17013559,5.46622843580229
"Northeast",2013,522,55794707,0.935572616234009
"South",2013,1110,28795762,3.85473390146786
"Southeast",2013,1503,84465570,1.77942326086238
"Central-West",2014,64,15219608,0.42051017345519
"North",2014,1717,17220496,9.97067680280522
"Northeast",2014,572,56186190,1.01804375772766
"South",2014,1075,29016114,3.70483793936018
"Southeast",2014,1327,85115623,1.55905573292931
"Central-West",2015,77,15442232,0.498632581093199
"North",2015,1313,17504446,7.50095147255731
"Northeast",2015,426,56560081,0.753181382466549
"South",2015,1571,29230180,5.37458202446923
"Southeast",2015,950,85745520,1.10792960378571
"Central-West",2016,73,15660988,0.466126402753134
"North",2016,479,17740418,2.70004911947396
"Northeast",2016,325,56915936,0.571017579329627
"South",2016,1214,29439773,4.12367310033267
"Southeast",2016,973,86356952,1.12671878460926
"Central-West",2017,52,15875907,0.327540341474663
"North",2017,518,17936201,2.8880140225904
"Northeast",2017,466,57254159,0.813914671246852
"South",2017,1065,29644948,3.59251768631876
"Southeast",2017,918,86949714,1.05578265616837
"Central-West",2018,72,16085885,0.447597381182322
"North",2018,500,18182253,2.74993423532276
"Northeast",2018,468,56760780,0.824512982379735
"South",2018,1019,29754036,3.42474546982467
"Southeast",2018,1020,87711946,1.1628974689491
"Central-West",2019,74,16297074,0.454069239668421
"North",2019,492,18430980,2.66941855506327
"Northeast",2019,622,57071654,1.0898580230389
"South",2019,1401,29975984,4.67374148585081
"Southeast",2019,1057,88371433,1.19608788057109
"Central-West",2020,57,16504303,0.345364478584767
"North",2020,311,18672591,1.66554282691674
"Northeast",2020,289,57374243,0.503710349607576
"South",2020,553,30192315,1.83159191337266
"Southeast",2020,692,89012240,0.777421172638729
"Central-West",2021,38,16707336,0.227444997814134
"North",2021,288,18906962,1.52324842034379
"Northeast",2021,324,57667842,0.561838259874542
"South",2021,542,30402587,1.78274302775616
"Southeast",2021,552,89632912,0.615845215427119
"Central-West",2022,52,16492326,0.315298157458202
"North",2022,309,17834762,1.73257148034832
"Northeast",2022,971,55389382,1.75304357069736
"South",2022,777,30685598,2.53213250072558
"Southeast",2022,1012,87348223,1.15858109672134
"Central-West",2023,60,16289538,0.368334571551385
"North",2023,361,17355778,2.07999894905316
"Northeast",2023,650,54657621,1.18922117009081
"South",2023,1225,29937706,4.09182988168833
"Southeast",2023,1108,84840113,1.30598600216386
"Central-West",2024,80,17071595,0.468614678358993
"North",2024,371,18669345,1.98721487015211
"Northeast",2024,667,57112096,1.16787869245772
"South",2024,2019,31113021,6.48924448705897
"Southeast",2024,1043,88617693,1.17696586842991
