"CD_MUN_6","CD_MUN","NM_MUN","SIGLA_UF","AREA_KM2","CD_UF","municipio","mean_incidence","number_of_cases_mean","inhabitats_ref","alfa","variance","ebi","POLY_ID","cluster"
"110001","1100015","Alta Floresta D'Oeste","RO",7067.127,"11","110001 ALTA FLORESTA D'OESTE",2.50950755866351,0.611111111111111,22853,15.5240592532039,15.5240592538681,0.636917578395499,"1","Not significant"
"110002","1100023","Ariquemes","RO",4426.571,"11","110002 ARIQUEMES",1.66550974913208,1.66666666666667,108573,15.5240592532039,15.5240592533437,0.42270810497811,"2","Not significant"
"110003","1100031","Cabixi","RO",1314.352,"11","110003 CABIXI",0,0,5690,15.5240592532039,15.5240592558717,-3.85270942835492e-06,"3","Not significant"
"110004","1100049","Cacoal","RO",3793,"11","110004 CACOAL",1.81023856823036,1.55555555555555,97637,15.5240592532039,15.5240592533594,0.459440764445482,"4","Not significant"
"110005","1100056","Cerejeiras","RO",2783.3,"11","110005 CEREJEIRAS",1.91246497814781,0.333333333333334,16975,15.5240592532039,15.5240592540981,0.485386169968825,"5","Not significant"
"110006","1100064","Colorado do Oeste","RO",1451.06,"11","110006 COLORADO DO OESTE",1.24462095257141,0.222222222222222,16588,15.5240592532039,15.524059254119,0.315885117440052,"6","Not significant"
"110007","1100072","Corumbiara","RO",3060.321,"11","110007 CORUMBIARA",0,0,8001,15.5240592532039,15.5240592551011,-3.85270942845054e-06,"7","Not significant"
"110008","1100080","Costa Marques","RO",4987.177,"11","110008 COSTA MARQUES",0.311148448924982,0.0555555555555556,13522,15.5240592532039,15.5240592543265,0.0789666667011588,"8","Not significant"
"110009","1100098","Espigão D'Oeste","RO",4518.038,"11","110009 ESPIGAO D'OESTE",3.37505605412941,1.05555555555555,32717,15.5240592532039,15.5240592536679,0.856596688160891,"9","Not significant"
"110010","1100106","Guajará-Mirim","RO",24856.877,"11","110010 GUAJARA-MIRIM",0.381535112227061,0.166666666666667,43553,15.5240592532039,15.5240592535524,0.0968310378092229,"10","Not significant"
"110011","1100114","Jaru","RO",2944.128,"11","110011 JARU",1.6377884182278,0.888888888888889,55583,15.5240592532039,15.524059253477,0.415672338261446,"11","Low-High"
"110012","1100122","Ji-Paraná","RO",6896.649,"11","110012 JI-PARANA",1.01272875815634,1.27777777777778,139359,15.5240592532039,15.5240592533128,0.257030101123774,"12","Low-High"
"110013","1100130","Machadinho D'Oeste","RO",8509.27,"11","110013 MACHADINHO D'OESTE",11.3808218912784,4.16666666666667,34063,15.5240592532039,15.5240592536495,2.88848689567262,"13","Not significant"
"110014","1100148","Nova Brasilândia D'Oeste","RO",1703.008,"11","110014 NOVA BRASILANDIA D'OESTE",2.26144681449268,0.388888888888889,16504,15.5240592532039,15.5240592541237,0.5739589299369,"14","Not significant"
"110015","1100155","Ouro Preto do Oeste","RO",1969.85,"11","110015 OURO PRETO DO OESTE",15.0924598161821,5.94444444444445,38681,15.5240592532039,15.5240592535963,3.83051304368912,"15","Not significant"
"110018","1100189","Pimenta Bueno","RO",6241.016,"11","110018 PIMENTA BUENO",1.06465625012961,0.388888888888889,39053,15.5240592532039,15.5240592535926,0.270209472662866,"16","Not significant"
"110020","1100205","Porto Velho","RO",34090.952,"11","110020 PORTO VELHO",3.0989392947187,14.8333333333333,514873,15.5240592532039,15.5240592532334,0.786517328996459,"17","High-High"
"110025","1100254","Presidente Médici","RO",1758.465,"11","110025 PRESIDENTE MEDICI",2.09145313534881,0.444444444444445,20518,15.5240592532039,15.5240592539437,0.530813964297444,"18","Not significant"
"110026","1100262","Rio Crespo","RO",1717.64,"11","110026 RIO CRESPO",0,0,3753,15.5240592532039,15.5240592572486,-3.85270942818406e-06,"19","Not significant"
"110028","1100288","Rolim de Moura","RO",1457.811,"11","110028 ROLIM DE MOURA",1.11659140488818,0.611111111111111,62559,15.5240592532039,15.5240592534465,0.283390789046205,"20","Not significant"
"110029","1100296","Santa Luzia D'Oeste","RO",1197.796,"11","110029 SANTA LUZIA D'OESTE",0,0,7877,15.5240592532039,15.524059255131,-3.85270942844683e-06,"21","Not significant"
"110030","1100304","Vilhena","RO",11699.15,"11","110030 VILHENA",0.330064537803321,0.277777777777778,108528,15.5240592532039,15.5240592533438,0.0837676334741746,"22","Not significant"
"110032","1100320","São Miguel do Guaporé","RO",7460.117,"11","110032 SAO MIGUEL DO GUAPORE",0.486051332245323,0.111111111111111,22267,15.5240592532039,15.5240592538856,0.123357604822441,"23","Not significant"
"110033","1100338","Nova Mamoré","RO",10070.49,"11","110033 NOVA MAMORE",0.488724242157316,0.111111111111111,28496,15.5240592532039,15.5240592537366,0.124035998319195,"24","Not significant"
