"","uf","Inhab_2007","Cases_2007","Inhab_2008","Cases_2008","Inhab_2009","Cases_2009","Inhab_2010","Cases_2010","Inhab_2011","Cases_2011","Inhab_2012","Cases_2012","Inhab_2013","Cases_2013","Inhab_2014","Cases_2014","Inhab_2015","Cases_2015","Inhab_2016","Cases_2016","Inhab_2017","Cases_2017","Inhab_2018","Cases_2018","Inhab_2019","Cases_2019","Inhab_2020","Cases_2020","Inhab_2021","Cases_2021","Inhab_2022","Cases_2022","Inhab_2023","Cases_2023","Inhab_2024","Cases_2024","Total_cases","incidence_2007_2024"
"1","AC",703447,25,680073,36,691169,71,733559,44,746386,129,758786,254,776463,519,790101,1205,803513,957,816687,187,829619,220,869265,166,881935,196,894470,157,906876,133,829780,86,830018,164,880631,106,4655,528.598243759304
"2","AL",3085053,49,3127557,77,3156101,78,3120494,69,3143384,85,3165472,49,3300935,56,3321730,71,3340932,34,3358963,15,3375823,71,3322820,50,3337357,63,3351543,31,3365351,28,3125254,86,3127683,55,3220104,40,1007,31.2722818890322
"3","AM",3389081,50,3341096,46,3393357,63,3483985,39,3538387,77,3590985,77,3807921,72,3873743,97,3938336,85,4001667,49,4063614,76,4080611,65,4144597,50,4207714,35,4269995,39,3952262,49,3941613,37,4281209,48,1054,24.6192138715956
"4","AP",636652,57,613164,92,626607,91,669526,63,684309,97,698602,79,734996,47,750912,72,766679,49,782295,77,797722,61,829494,77,845731,56,861773,22,877613,38,774268,33,733759,22,802837,42,1075,133.900156569764
"5","BA",14083771,124,14502575,114,14637500,156,14016906,199,14097534,169,14175341,94,15044137,183,15126371,122,15203934,128,15276566,53,15344447,77,14812617,69,14873064,81,14930634,62,14985284,62,14659023,144,14141626,130,14850513,149,2116,14.2486660225138
"6","CE",8335849,69,8450527,92,8547750,304,8452381,36,8530155,124,8606005,60,8778576,31,8842791,50,8904459,30,8963663,48,9020460,28,9075649,52,9132078,111,9187103,46,9240580,45,8936431,97,8794957,90,9233656,95,1408,15.2485645988978
"7","DF",2434033,25,2557158,19,2606884,29,2570160,28,2609998,13,2648532,20,2789761,28,2852372,16,2914830,30,2977216,27,3039444,7,2974703,19,3015268,21,3055149,18,3094325,6,2923369,15,2817381,12,2982818,23,356,11.9350225189737
"8","ES",3519712,148,3453648,136,3487094,237,3514952,268,3547055,306,3578067,239,3839366,155,3885049,252,3929911,75,3973697,53,4016356,69,3972388,72,4018650,98,4064052,2,4108508,0,3975100,0,3833712,66,4102129,83,2259,55.0689654079625
"9","GO",5840650,8,5844996,10,5926308,13,6003788,14,6080716,3,6154996,23,6434048,31,6523222,24,6610681,25,6695855,30,6778772,25,6921161,24,7018354,14,7113540,16,7206589,22,6950976,21,7056495,26,7350483,26,355,4.82961459811553
"10","MA",6265102,20,6305539,60,6367111,61,6574789,41,6645761,48,6714314,21,6794301,20,6850884,33,6904241,20,6954036,15,7000229,23,7035055,28,7075181,37,7114598,13,7153262,15,6800605,31,6775805,45,7010960,56,587,8.37260517817817
"11","MG",19719285,79,19850072,67,20034068,113,19597330,99,19728701,112,19855332,128,20593356,142,20734097,136,20869101,115,20997560,158,21119536,134,21040662,179,21168791,186,21292666,228,21411923,157,20732660,165,20539989,205,21322691,169,2572,12.0622673751639
"12","MS",2331243,2,2336058,6,2360550,5,2449024,2,2477542,0,2505088,6,2587269,4,2619657,20,2651235,12,2682386,9,2713147,8,2748023,10,2778986,9,2809394,7,2839188,3,2833742,5,2757013,11,2901895,11,130,4.47983128266185
"13","MT",2910255,5,2957732,14,3001725,1,3035122,4,3075936,8,3115336,5,3182113,3,3224357,4,3265486,10,3305531,7,3344544,12,3441998,19,3484466,30,3526220,16,3567234,7,3784239,11,3658649,11,3836399,20,187,4.87436265101727
"14","PA",7249184,106,7321493,144,7431041,107,7581051,95,7688593,132,7822205,103,7999729,126,8063393,149,8206923,133,8305359,125,8366628,134,8513497,152,8602865,153,8690745,73,8777124,61,8442962,109,8121025,93,8664306,128,2123,24.5028280395452
"15","PB",3650180,15,3742606,14,3769954,13,3766528,8,3791315,26,3815171,16,3914421,21,3943885,16,3972202,11,3999415,8,4025558,11,3996496,18,4018127,23,4039277,19,4059905,8,4030961,20,3974687,30,4145040,28,305,7.35819195954683
"16","PE",8590868,202,8734194,195,8810318,205,8796448,271,8864906,384,8931028,121,9208550,170,9277727,222,9345173,142,9410336,160,9473266,219,9496294,214,9557071,252,9616621,83,9674793,140,9051113,538,9058931,229,9539029,234,3981,41.7338074975975
"17","PI",3065488,0,3119697,1,3145164,14,3118360,0,3140328,2,3160748,2,3184166,2,3194718,1,3204028,2,3212180,1,3219257,0,3264531,1,3273227,16,3281480,9,3289290,2,3270174,5,3271199,13,3375646,8,79,2.34029279136497
"18","PR",10511933,373,10590169,199,10686228,205,10444526,319,10512349,478,10577755,221,10997465,333,11081692,245,11163018,497,11242720,433,11320892,255,11348937,318,11433957,408,11516840,179,11597484,200,11835379,309,11444380,447,11824665,431,5850,49.4728603305041
"19","RJ",15738536,243,15872362,258,16010386,328,15989929,295,16112678,424,16231365,186,16369179,231,16461173,167,16550024,136,16635996,164,16718956,165,17159960,242,17264943,224,17366189,121,17463349,96,16615526,349,16055174,302,17219679,340,4271,24.8030175243104
"20","RN",3084106,3,3106430,16,3137646,43,3168027,20,3198657,34,3228198,14,3373959,6,3408510,14,3442175,22,3474998,4,3507003,4,3479010,13,3506853,12,3534165,9,3560903,11,3303953,8,3302729,20,3446071,25,278,8.0671582216385
"21","RO",1590027,3,1493566,16,1503911,30,1562409,15,1576455,56,1590011,9,1728214,150,1748531,187,1768204,87,1787279,38,1805788,22,1757589,27,1777225,25,1796460,20,1815278,11,1616379,15,1581196,26,1746227,31,768,43.9805363220246
"22","RR",415281,2,412783,3,421497,2,450479,2,460165,0,469524,3,488072,5,496936,4,505665,1,514229,0,522636,2,576568,2,605761,2,631181,2,652713,4,634805,6,636707,2,716793,3,45,6.27796309394762
"23","RS",11080317,498,10855214,429,10914042,461,10693929,475,10733030,544,10770603,277,11164043,438,11207274,480,11247972,530,11286500,403,11322895,495,11329605,450,11377239,703,11422973,227,11466630,188,11088065,281,10882965,463,11229915,1334,8676,77.2579311597639
"24","SC",6049251,363,6052587,933,6118727,456,6248436,430,6317054,706,6383286,410,6634254,339,6727148,350,6819190,544,6910553,378,7001161,315,7075494,251,7164788,290,7252502,147,7338473,154,7762154,187,7610361,315,8058441,254,6822,84.6565731510599
"25","SE",2033430,84,1999374,74,2019755,53,2068017,73,2089819,50,2110867,36,2195662,33,2219574,43,2242937,37,2265779,21,2288116,33,2278308,23,2298696,27,2318822,17,2338474,13,2211868,42,2210004,38,2291077,32,729,31.819096433686
"26","SP",41663568,748,41011635,602,41384089,856,41262199,875,41587182,996,41901219,763,43663669,975,44035304,772,44396484,624,44749699,598,45094866,550,45538936,527,45919049,549,46289333,341,46649132,299,46024937,498,44411238,535,45973194,451,11559,25.142912628607
"27","TO",1358889,0,1280509,1,1292063,1,1383445,1,1400892,4,1417694,4,1478164,11,1496880,3,1515126,1,1532902,3,1550194,3,1555229,11,1572866,10,1590248,2,1607363,2,1584306,11,1511460,17,1577342,13,98,6.21298361420668
