"SG_UF","UF","year_month","confirmed_cases","inhab","incidence"
"11","RO","2007-04",1,1590027,0.0628920137834137
"11","RO","2007-11",1,1590027,0.0628920137834137
"11","RO","2007-12",1,1590027,0.0628920137834137
"12","AC","2007-01",3,703447,0.426471361737274
"12","AC","2007-02",4,703447,0.568628482316365
"12","AC","2007-03",9,703447,1.27941408521182
"12","AC","2007-04",4,703447,0.568628482316365
"12","AC","2007-05",3,703447,0.426471361737274
"12","AC","2007-09",2,703447,0.284314241158182
"13","AM","2007-01",9,3389081,0.265558716359981
"13","AM","2007-02",5,3389081,0.147532620199989
"13","AM","2007-03",6,3389081,0.177039144239987
"13","AM","2007-04",9,3389081,0.265558716359981
"13","AM","2007-05",8,3389081,0.236052192319983
"13","AM","2007-06",3,3389081,0.0885195721199936
"13","AM","2007-08",4,3389081,0.118026096159991
"13","AM","2007-09",1,3389081,0.0295065240399979
"13","AM","2007-10",3,3389081,0.0885195721199936
"13","AM","2007-12",2,3389081,0.0590130480799957
"14","RR","2007-01",1,415281,0.240800807164306
"14","RR","2007-07",1,415281,0.240800807164306
"15","PA","2007-01",17,7249184,0.234509153030189
"15","PA","2007-02",13,7249184,0.179330528787792
"15","PA","2007-03",17,7249184,0.234509153030189
"15","PA","2007-04",14,7249184,0.193125184848391
"15","PA","2007-05",16,7249184,0.22071449696959
"15","PA","2007-06",5,7249184,0.0689732803029969
"15","PA","2007-07",14,7249184,0.193125184848391
"15","PA","2007-08",2,7249184,0.0275893121211987
"15","PA","2007-10",3,7249184,0.0413839681817981
"15","PA","2007-11",2,7249184,0.0275893121211987
"15","PA","2007-12",3,7249184,0.0413839681817981
"16","AP","2007-01",6,636652,0.942430087394683
"16","AP","2007-02",3,636652,0.471215043697342
"16","AP","2007-03",5,636652,0.785358406162236
"16","AP","2007-04",1,636652,0.157071681232447
"16","AP","2007-05",6,636652,0.942430087394683
"16","AP","2007-06",7,636652,1.09950176862713
"16","AP","2007-07",9,636652,1.41364513109203
"16","AP","2007-08",10,636652,1.57071681232447
"16","AP","2007-10",2,636652,0.314143362464894
"16","AP","2007-11",2,636652,0.314143362464894
