"month","year","confirmed_cases","inhabitants","incidence"
"01","2007",410,189335191,0.216547171096154
"02","2007",424,189335191,0.22394146474334
"03","2007",562,189335191,0.296828073551314
"04","2007",355,189335191,0.187498160339353
"05","2007",322,189335191,0.170068753885272
"06","2007",160,189335191,0.0845062131106942
"07","2007",166,189335191,0.0876751961023453
"08","2007",148,189335191,0.0781682471273922
"09","2007",127,189335191,0.0670768066566136
"10","2007",171,189335191,0.0903160152620545
"11","2007",249,189335191,0.131512794153518
"12","2007",208,189335191,0.109858077043903
"01","2008",400,189612814,0.210956206788851
"02","2008",436,189612814,0.229942265399848
"03","2008",386,189612814,0.203572739551241
"04","2008",362,189612814,0.19091536714391
"05","2008",312,189612814,0.164545841295304
"06","2008",220,189612814,0.116025913733868
"07","2008",184,189612814,0.0970398551228716
"08","2008",159,189612814,0.0838550921985684
"09","2008",126,189612814,0.0664512051384882
"10","2008",149,189612814,0.0785811870288471
"11","2008",195,189612814,0.102841150809565
"12","2008",725,189612814,0.382358124804793
"01","2009",453,191481045,0.236576941597535
"02","2009",543,191481045,0.283578982974529
"03","2009",555,191481045,0.289845921824795
"04","2009",410,191481045,0.214120410717416
"05","2009",352,191481045,0.183830206274464
"06","2009",361,191481045,0.188530410412164
"07","2009",276,191481045,0.144139593556114
"08","2009",176,191481045,0.0919151031372322
"09","2009",143,191481045,0.0746810212990012
"10","2009",167,191481045,0.0872148989995328
"11","2009",224,191481045,0.116982858538296
"12","2009",336,191481045,0.175474287807443
"01","2010",456,190755799,0.239049089144598
"02","2010",527,190755799,0.276269451708779
"03","2010",440,190755799,0.230661401806191
"04","2010",426,190755799,0.223322175385085
"05","2010",270,190755799,0.141542223835617
"06","2010",233,190755799,0.122145696865551
"07","2010",368,190755799,0.19291680878336
"08","2010",239,190755799,0.125291079617454
"09","2010",162,190755799,0.0849253343013703
"10","2010",172,190755799,0.0901676388878746
"11","2010",215,190755799,0.112709548609843
"12","2010",279,190755799,0.146260297963471
"01","2011",799,192379287,0.415325377518423
"02","2011",886,192379287,0.460548541278251
"03","2011",617,192379287,0.320720598158782
"04","2011",472,192379287,0.245348658559068
"05","2011",522,192379287,0.27133898255897
"06","2011",260,192379287,0.135149684799487
"07","2011",253,192379287,0.131511039439501
"08","2011",308,192379287,0.160100395839392
"09","2011",275,192379287,0.142946781999457
"10","2011",213,192379287,0.11071878023958
"11","2011",224,192379287,0.116436651519558
"12","2011",182,192379287,0.0946047793596407
"01","2012",418,193976530,0.215489987371153
"02","2012",433,193976530,0.223222881654806
"03","2012",409,193976530,0.21085025080096
"04","2012",255,193976530,0.131459202822115
"05","2012",270,193976530,0.139192097105768
"06","2012",198,193976530,0.10207420454423
"07","2012",214,193976530,0.110322625113461
"08","2012",177,193976530,0.0912481525471149
"09","2012",199,193976530,0.102589730829807
"10","2012",202,193976530,0.104136309686538
"11","2012",222,193976530,0.114446835398076
"12","2012",225,193976530,0.115993414254807
"01","2013",521,201062789,0.259123034446717
"02","2013",426,201062789,0.211874112618621
"03","2013",498,201062789,0.247683821793599
"04","2013",431,201062789,0.214360897977994
"05","2013",299,201062789,0.148709764490534
"06","2013",299,201062789,0.148709764490534
"07","2013",352,201062789,0.175069689299893
"08","2013",225,201062789,0.111905341171807
"09","2013",214,201062789,0.106434413381185
"10","2013",267,201062789,0.132794338190544
"11","2013",245,201062789,0.121852482609301
"12","2013",354,201062789,0.176064403443643
"01","2014",555,202758031,0.273725285880291
"02","2014",535,202758031,0.263861311614335
"03","2014",627,202758031,0.309235593237735
"04","2014",600,202758031,0.295919227978693
"05","2014",467,202758031,0.230323799110083
"06","2014",392,202758031,0.193333895612746
"07","2014",400,202758031,0.197279485319129
"08","2014",270,202758031,0.133163652590412
"09","2014",233,202758031,0.114915300198393
"10","2014",234,202758031,0.11540849891169
"11","2014",234,202758031,0.11540849891169
"12","2014",210,202758031,0.103571729792543
"01","2015",359,204482459,0.175565181363552
"02","2015",462,204482459,0.225936250111311
"03","2015",887,204482459,0.433778038633622
"04","2015",553,204482459,0.270438844830206
"05","2015",291,204482459,0.142310495199982
"06","2015",342,204482459,0.167251509822659
"07","2015",304,204482459,0.148668008731253
"08","2015",251,204482459,0.122748915103764
"09","2015",173,204482459,0.0846038339161405
"10","2015",201,204482459,0.0982969399834927
"11","2015",251,204482459,0.122748915103764
"12","2015",263,204482459,0.12861738913263
"01","2016",499,206114067,0.242098953876836
"02","2016",475,206114067,0.230454916015024
"03","2016",487,206114067,0.23627693494593
"04","2016",339,206114067,0.164472034798091
"05","2016",220,206114067,0.106737013733274
"06","2016",219,206114067,0.106251845489032
"07","2016",134,206114067,0.0650125447284488
"08","2016",115,206114067,0.0557943480878479
"09","2016",124,206114067,0.0601608622860273
"10","2016",96,206114067,0.0465761514472469
"11","2016",184,206114067,0.0892709569405566
"12","2016",173,206114067,0.0839341062538929
"01","2017",394,207660929,0.189732368961905
"02","2017",395,207660929,0.190213923197849
"03","2017",403,207660929,0.1940663570854
"04","2017",271,207660929,0.130501197940803
"05","2017",232,207660929,0.11172058273899
"06","2017",317,207660929,0.152652692794223
"07","2017",215,207660929,0.103534160727943
"08","2017",157,207660929,0.0756040150431957
"09","2017",127,207660929,0.0611573879648781
"10","2017",185,207660929,0.0890875336496255
"11","2017",158,207660929,0.0760855692791396
"12","2017",166,207660929,0.079938003166691
"01","2018",363,208494900,0.174104978107378
"02","2018",397,208494900,0.19041233142873
"03","2018",421,208494900,0.20192340436145
"04","2018",414,208494900,0.198566008089407
"05","2018",320,208494900,0.153480972436256
"06","2018",194,208494900,0.0930478395394803
"07","2018",144,208494900,0.0690664375963153
"08","2018",135,208494900,0.0647497852465456
"09","2018",120,208494900,0.0575553646635961
"10","2018",179,208494900,0.0858534189565308
"11","2018",201,208494900,0.0964052358115234
"12","2018",193,208494900,0.092568211500617
"01","2019",350,210147125,0.166549982541993
"02","2019",456,210147125,0.216990834397568
"03","2019",423,210147125,0.201287550329323
"04","2019",458,210147125,0.217942548583522
"05","2019",401,210147125,0.190818694283826
"06","2019",340,210147125,0.161791411612222
"07","2019",237,210147125,0.112778131035578
"08","2019",214,210147125,0.101833417897104
"09","2019",153,210147125,0.0728061352254998
"10","2019",195,210147125,0.0927921331305389
"11","2019",207,210147125,0.0985024182462644
"12","2019",212,210147125,0.10088170371115
"01","2020",352,211755692,0.166229297864635
"02","2020",389,211755692,0.183702263833361
"03","2020",281,211755692,0.132700092897621
"04","2020",159,211755692,0.0750865294331734
"05","2020",93,211755692,0.0439185360835542
"06","2020",108,211755692,0.0510021709357404
"07","2020",94,211755692,0.0443907784070333
"08","2020",78,211755692,0.0368349012313681
"09","2020",71,211755692,0.0335292049670145
"10","2020",93,211755692,0.0439185360835542
"11","2020",82,211755692,0.0387238705252844
"12","2020",103,211755692,0.048640959318345
"01","2021",148,213317639,0.069380104099127
"02","2021",165,213317639,0.0773494403807835
"03","2021",176,213317639,0.0825060697395024
"04","2021",142,213317639,0.0665673971761894
"05","2021",138,213317639,0.0646922592275644
"06","2021",135,213317639,0.0632859057660956
"07","2021",154,213317639,0.0721928110220646
"08","2021",132,213317639,0.0618795523046268
"09","2021",119,213317639,0.0557853539715954
"10","2021",154,213317639,0.0721928110220646
"11","2021",138,213317639,0.0646922592275644
"12","2021",143,213317639,0.0670361816633457
"01","2022",239,207750291,0.115041956788402
"02","2022",269,207750291,0.129482369774394
"03","2022",338,207750291,0.162695319642176
"04","2022",377,207750291,0.181467856523965
"05","2022",296,207750291,0.142478741461787
"06","2022",511,207750291,0.245968367861396
"07","2022",241,207750291,0.116004650987468
"08","2022",187,207750291,0.090011907612683
"09","2022",130,207750291,0.0625751229392983
"10","2022",144,207750291,0.0693139823327612
"11","2022",173,207750291,0.0832730482192201
"12","2022",218,207750291,0.104933667698208
"01","2023",294,203080756,0.144769994848749
"02","2023",352,203080756,0.173330061859726
"03","2023",449,203080756,0.221094311860844
"04","2023",321,203080756,0.158065198457307
"05","2023",300,203080756,0.14772448453954
"06","2023",248,203080756,0.122118907219353
"07","2023",257,203080756,0.126550641755539
"08","2023",194,203080756,0.0955285000022356
"09","2023",216,203080756,0.106361628868468
"10","2023",263,203080756,0.12950513144633
"11","2023",250,203080756,0.123103737116283
"12","2023",264,203080756,0.129997546394795
"01","2024",379,212583750,0.178282676827368
"02","2024",396,212583750,0.186279525128332
"03","2024",402,212583750,0.189101942175731
"04","2024",386,212583750,0.181575496716
"05","2024",797,212583750,0.374911064462829
"06","2024",513,212583750,0.241316657552612
"07","2024",324,212583750,0.152410520559544
"08","2024",165,212583750,0.0776164688034716
"09","2024",147,212583750,0.0691492176612747
"10","2024",199,212583750,0.0936101654053991
"11","2024",230,212583750,0.108192653483627
"12","2024",248,212583750,0.116659904625824
